Location;Capacity Glass;EmptyTimeGlass;Mean Glass;Std glass;Capacity Plastic;EmptyTimePlastic;mean plastic;std plastic
92;1.65;3;0.026352261;0.001369171;1.65;3;0.0244;0.001185945
93;1.65;3;0.026348241;0.001414172;1.65;3;0.019223618;0.000942646
94;1.65;3;0.101724623;0.004964708;1.65;3;0.073623618;0.003771396
95;1.65;3;0.007866834;0.000439358;1.65;3;0.005158794;0.000263256
96;1.65;3;0.004192462;0.000203984;1.65;3;0.004133166;0.000219516
97;1.65;3;0.07128392;0.003141453;1.65;3;0.04991407;0.002458607
98;1.65;3;0.025034171;0.001227109;1.65;3;0.018591457;0.00098953
99;1.65;3;0.03119799;0.001506449;1.65;3;0.02449397;0.001273413
100;1.65;3;0.031803015;0.001631908;1.65;3;0.021268844;0.001047524
101;1.65;3;0.008927638;0.00045515;1.65;3;0.005676884;0.000299104
102;1.65;3;0.010060804;0.000553749;1.65;3;0.007764824;0.000393725
103;1.65;3;0.008967337;0.000443458;1.65;3;0.006725628;0.000334689
104;1.65;3;0.008459296;0.000397214;1.65;3;0.007797487;0.000387877
105;1.65;3;0.005271859;0.000276727;1.65;3;0.010853769;0.000567266
106;1.65;3;0.132333166;0.006506276;1.65;3;0.045986432;0.002375606
107;1.65;3;0.022171859;0.00110445;1.65;3;0.029580905;0.001677311
108;1.65;3;0.013729648;0.000709229;1.65;3;0.027030653;0.001342888
109;1.65;3;0.021711558;0.001046214;1.65;3;0.027019095;0.001231053
110;1.65;3;0.022788945;0.001081188;1.65;3;0.030214573;0.001544145
111;1.65;3;0.03589799;0.001840947;1.65;3;0.060238693;0.002777063
112;1.65;3;0.019584925;0.000969418;1.65;3;0.016082915;0.000874273
113;1.65;3;0.022189447;0.001090565;1.65;3;0.02650603;0.001366358
114;1.65;3;0.038548744;0.001973789;1.65;3;0.042787437;0.001883419
115;1.65;3;0.021648241;0.001072891;1.65;3;0.029131156;0.001407101
116;3.3;4;0.043528643;0.002364838;3.3;4;0.057511055;0.002932038
117;1.65;3;0.033521106;0.001638753;1.65;3;0.02450603;0.001274404
118;1.65;3;0.001567337;5.76338E-05;0;0;0;0
119;1.65;3;0.037549246;0.002030223;1.65;3;0.036390452;0.001813824
120;1.65;3;0.124031156;0.006049696;1.65;3;0.072388945;0.003733871
121;1.65;3;0.010038191;0.000535459;1.65;3;0.010351759;0.000561909
122;1.65;3;0.032766332;0.001616744;1.65;3;0.020843719;0.001021955
123;1.65;3;0.014222111;0.000714223;1.65;3;0.01350603;0.000659326
124;1.65;3;0.013239698;0.000646656;1.65;3;0.012498492;0.000661989
125;1.65;3;0.01698392;0.000861958;1.65;3;0.013930653;0.000670907
126;1.65;3;0.002061307;0.000115734;0;0;0;0
127;1.65;3;0.016419598;0.000835976;1.65;3;0.014503518;0.000681678
128;1.65;3;0.007903015;0.000362916;1.65;3;0.01251206;0.000698451
